row,acara_id,school_name,suburb,postcode,state,sector,school_sector,school_type,gender,lat,lng,geolocation,website_url,school_phone,school_email,scholarship_url,scholarship_confidence,url_status,program_name,program_type,category,sub_type,gender_eligibility,overview,description,eligibility_criteria,year_levels,application_open_date,application_close_date,closing_label,days_left,value_aud,value_num,value_type,number_awarded,test_provider,test_month,application_fee,special_conditions,contact_phone,contact_email,is_active,extraction_confidence_score,last_verified_at
1,52380,Al Iman College,Melton South,3338,VIC,Independent,Non-Government,Combined,Co-ed,-37.707,144.565,Major Cities,https://www.aliman.vic.edu.au/,03 9743 1117,info@aliman.vic.edu.au,https://www.aliman.vic.edu.au/page/fee-schedule,high,active,Annual Scholarship Program - Tier 1,scholarship,Academic,Merit-Based Scholarship,Co-ed,Al Iman College's Tier 1 scholarship recognizes exceptional academic achievement with a 100% tuition fee discount. This merit-based program rewards students who achieve an average of 95% or above across all subjects in both semesters.,The Tier 1 scholarship is part of Al Iman College's tiered annual scholarship program designed to recognize academic excellence. Students achieving an average of 95% or above across all subjects for both semesters are eligible for a 100% discount on tuition fees. The scholarship is applicable to Year 5 and above students who maintain a minimum of 90% attendance throughout the year and have not received any orange or red cards. The discount is applied quarterly to tuition fees in the following year after all criteria are met.,Year 5 and above; Average grades of 95% and above for both semesters across all subjects; Minimum 90% attendance throughout the year; No orange or red cards received during the year.,Year 5 or Multiple,,,TBA,,Full Fee Remission,50000,Full Fee,,Own assessment,,,Minimum 90% attendance required; No disciplinary cards (orange or red) allowed,03 9743 1117,info@aliman.vic.edu.au,True,85,2026-04-02T17:48:02
2,52380,Al Iman College,Melton South,3338,VIC,Independent,Non-Government,Combined,Co-ed,-37.707,144.565,Major Cities,https://www.aliman.vic.edu.au/,03 9743 1117,info@aliman.vic.edu.au,https://www.aliman.vic.edu.au/page/fee-schedule,high,active,Annual Scholarship Program - Tier 2,scholarship,Academic,Merit-Based Scholarship,Co-ed,Al Iman College's Tier 2 scholarship recognizes strong academic achievement with a 50% tuition fee discount. This program rewards students who maintain an average between 90-94% across all subjects while meeting attendance and conduct requirements.,The Tier 2 scholarship is part of Al Iman College's tiered annual scholarship program designed to recognize solid academic performance. Students achieving an average between 90% to 94% across all subjects for both semesters are eligible for a 50% discount on tuition fees. This scholarship applies to Year 5 and above students who maintain a minimum of 90% attendance throughout the year and have not received any orange or red cards. The discount is applied quarterly to tuition fees in the following year after all criteria are met.,Year 5 and above; Average grades between 90-94% for both semesters across all subjects; Minimum 90% attendance throughout the year; No orange or red cards received during the year.,Year 5 or Multiple,,,TBA,,50% Fee Reduction,50,Partial,,Own assessment,,,Minimum 90% attendance required; No disciplinary cards (orange or red) allowed,03 9743 1117,info@aliman.vic.edu.au,True,85,2026-04-02T17:48:02
3,46309,Al-Taqwa College,Truganina,3029,VIC,Independent,Non-Government,Combined,Co-ed,-37.8527,144.722,Major Cities,https://al-taqwa.vic.edu.au/,03 9269 5000,,https://al-taqwa.vic.edu.au/for-students/select-entry-enrichment-program-seep/,high,active,Select Entry Enrichment Program (SEEP),scholarship,Academic,General Academic Merit,Co-ed,"The Select Entry Enrichment Program (SEEP) is Al-Taqwa College's premier scholarship offering 100% tuition coverage for high-ability students. The program provides full financial support to eligible students throughout their remaining schooling and VCE years, conditional on maintaining exceptional academic performance.","SEEP is designed to identify and support high-ability students with strong maturity and commitment to independent learning. Eligible students receive 100% scholarship coverage for the remainder of their schooling, including FREE tuition support throughout VCE. Additionally, successful students receive a $2,000 reward at the completion of Year 12, which can be applied towards university fees, a holiday, or Umrah. The program focuses on enrichment in English, Mathematics, and Science. Students must maintain a score of 90% or above in all assessments throughout the year to retain their scholarship status.","Students with high level of maturity and commitment, capable of independent learning. Students in Grades 3 to Year 9 are eligible to apply each year. Students can be nominated by teachers. Grades 3-4 students are assessed internally. Students in Years 5-8 must sit the ACER High Ability Selection Test (HAST) during Term 3 to be eligible for scholarships for the following year. Current SEEP participants must also sit HAST to assess eligibility to remain in the program.","Grade 3, Grade 4, Year 5, Year 6, Year 7, Year 8, Year 9",,,TBA,,"Full Fee Remission + $2,000",2000,Full Fee,,ACER,Term 3,,Students must maintain 90% or above in all assessments throughout the year to retain scholarship. Successful applicants will be sent offers by mail. Students intending to enrol must still follow the general enrolment process.,03 9269 5000,,True,92,2026-04-02T18:01:09
4,52102,Al-Taqwa College - Olive Branch Annexe,Tarneit,3029,VIC,Independent,Non-Government,Combined,Co-ed,-37.8098,144.695,Major Cities,https://al-taqwa.vic.edu.au/,03 9269 5000,adminoffice@wicv.net,https://al-taqwa.vic.edu.au/for-students/select-entry-enrichment-program-seep/,high,active,Select Entry Enrichment Program (SEEP),scholarship,Academic,General Academic Merit,Co-ed,"SEEP is Al-Taqwa College's flagship merit-based scholarship program for high-achieving students. The program offers 100% tuition scholarships to eligible students in Grades 3 to Year 9, with additional benefits including free VCE support and university rewards. Students undertake enriched coursework in English, Mathematics and Science.","The Select Entry Enrichment Program is designed to identify and support highly capable students demonstrating high maturity, commitment, and independent learning ability. Eligible students receive a 100% scholarship for the remainder of their schooling, provided they maintain a score of 90% or above in all their assessments throughout the year. Recipients also receive free tuition support throughout VCE and a $2000 reward towards university fees, a holiday or Umrah upon successful completion of Year 12 studies. The program has enriched curriculum in English, Mathematics and Science to challenge high-ability learners. Successful applicants are notified by mail and must still follow the general college enrolment process.","Students currently in Grades 3-4 are assessed internally. Students in Years 5-8 are eligible based on ACER High Ability Selection Test (HAST) results taken in Term 3. Current SEEP students must sit the HAST Test annually to maintain program eligibility. Teachers nominate students with high maturity, commitment and capacity for independent learning. The program is offered to students in Grades 3 to Year 9 each year.","Grade 3, Grade 4, Year 5, Year 6, Year 7, Year 8, Year 9",,,TBA,,"Full Fee Remission + Free VCE Support + $2,000 University Award",2000,Full Fee,,ACER,Term 3,,Students must maintain 90% or above in all assessments annually to retain scholarship. Must maintain high level of maturity and independent learning commitment throughout program.,03 9269 5000,adminoffice@wicv.net,True,92,2026-04-02T18:02:50
5,53341,All Saints Anglican School,Shepparton North,3631,VIC,Independent,Non-Government,Combined,Co-ed,-36.3408949143983,145.415171796782,Inner Regional,https://www.allsaints.vic.edu.au/,03 5825 0000,,https://www.allsaints.vic.edu.au/enrolment/scholarships,high,active,Academic Scholarships,scholarship,Academic,General Academic Merit,Co-ed,"Academic Scholarships are awarded to students who are committed to their studies and strive for excellence. They are based on a student's ability to thrive academically, while contributing to school life in a positive and enthusiastic way. Recipients receive a concession of 25% or 50% off academic tuition fees.","Academic Scholarships recognise students demonstrating strong academic performance and commitment to excellence. These scholarships are available to both external applicants and current All Saints students. Scholarship awards are determined based on the candidate's performance in the Australian Council for Educational Research (ACER) Scholarship Test, their resume and an interview with the School Principal or a delegate. All scholarships are subject to annual review based on academic performance and adherence to school values.","Students in Years 6, 9, and 10 (in 2026) may apply for scholarships to commence in Years 7, 10 and 11 in 2027. Open to both external applicants and current All Saints students.","Year 7, Year 10, Year 11",,,TBA,,25% or 50% Fee Reduction,25,Partial,,ACER,January,,Annual review based on academic performance and adherence to school values. Information session held on Friday 23 January 2026.,03 5825 0000,,True,85,2026-04-02T17:57:37
6,53341,All Saints Anglican School,Shepparton North,3631,VIC,Independent,Non-Government,Combined,Co-ed,-36.3408949143983,145.415171796782,Inner Regional,https://www.allsaints.vic.edu.au/,03 5825 0000,,https://www.allsaints.vic.edu.au/enrolment/scholarships,high,active,Music Scholarships,scholarship,Music,Music Merit,Co-ed,Music Scholarships are available for skilled instrumentalists or vocalists who bring passion and positivity to the arts at their current school. Recipients receive a concession of 25% or 50% off academic tuition fees plus free music lessons on one instrument.,"Music Scholarships recognise talented musicians with demonstrated instrumental or vocal ability. In addition to fee concessions, Music Scholarship recipients receive free music lessons on one instrument as nominated by the Director of Performing Arts. Scholarships are available to both external applicants and current All Saints students. Scholarship awards are determined based on audition performance, their resume and an interview with the School Principal or a delegate.","Skilled instrumentalists or vocalists. Music applicants are expected to be at least Grade 4 AMEB (or equivalent) for Year 7 entry and at least Grade 5 AMEB for Years 10 and 11. Students in Years 6, 9, and 10 (in 2026) may apply for scholarships to commence in Years 7, 10 and 11 in 2027.","Year 7, Year 10, Year 11",,,TBA,,25% or 50% Fee Reduction + Free Music Lessons,25,Partial,,Audition,January,,"Minimum AMEB Grade 4 for Year 7, Grade 5 for Years 10-11. Annual review based on academic performance and adherence to school values.",03 5825 0000,,True,85,2026-04-02T17:57:37
7,53341,All Saints Anglican School,Shepparton North,3631,VIC,Independent,Non-Government,Combined,Co-ed,-36.3408949143983,145.415171796782,Inner Regional,https://www.allsaints.vic.edu.au/,03 5825 0000,,https://www.allsaints.vic.edu.au/enrolment/scholarships,high,active,General Excellence Scholarships,scholarship,All-Rounder,General Excellence,Co-ed,"General Excellence Scholarships recognise students who display good academic performance, actively contribute to school life and excel in a particular area such as the arts, leadership, sport or community service. Recipients receive a concession of 25% or 50% off academic tuition fees.","General Excellence Scholarships are designed to recognise well-rounded students who demonstrate strong academic performance alongside excellence in other areas including arts, leadership, sport, or community service. These scholarships celebrate students who make positive contributions to school life while maintaining good academic standards. Scholarships are available to both external applicants and current All Saints students. Scholarship awards are determined based on the candidate's performance in the ACER Scholarship Test, their resume and an interview with the School Principal or a delegate.","Students displaying good academic performance, who actively contribute to school life and excel in areas such as the arts, leadership, sport or community service. Students in Years 6, 9, and 10 (in 2026) may apply for scholarships to commence in Years 7, 10 and 11 in 2027.","Year 7, Year 10, Year 11",,,TBA,,25% or 50% Fee Reduction,25,Partial,,ACER,January,,Annual review based on academic performance and adherence to school values.,03 5825 0000,,True,85,2026-04-02T17:57:37
8,46316,Alphington Grammar School,Alphington,3078,VIC,Independent,Non-Government,Combined,Co-ed,-37.7804,145.036,Major Cities,https://alphington.vic.edu.au/,,,https://alphington.vic.edu.au/enrolment/scholarships/,high,unverified,,,Music,,Co-ed,"Dedicated scholarship page with detailed information on Academic, Arts, Music, Sport, and Greek scholarships.",,,,,,,,,0,,,,,,,,,False,0,2026-04-02T17:59:28
9,46298,Australian International Academy of Education - Senior Campus,Coburg North,3058,VIC,Independent,Non-Government,Combined,Co-ed,-37.7265,144.959,Major Cities,https://www.aia.vic.edu.au/,(03) 9350 4533,admissions.coburg@aia.vic.edu.au,https://www.aia.vic.edu.au/parents/scholarships,high,active,Academic Scholarships,scholarship,Academic,General Academic Merit,Co-ed,"The Australian International Academy of Education offers Academic Scholarships to both local and overseas students. The school has a total of 35 Full, Half, and Quarter Scholarships available across its Melbourne Senior Campus, King Khalid Coburg Campus and Caroline Springs Campus.","Academic Scholarships are merit-based awards designed to recognize and support academic excellence. The school offers Full, Half, and Quarter Scholarships to assist qualifying students with tuition fees. These scholarships are available to both local and international students. The programs aim to provide assistance with up to 100% of tuition fees depending on the scholarship level awarded.",Open to both local and overseas students seeking admission to the school. Academic merit is the primary criterion for selection.,Multiple,,,TBA,,Full Fee Remission or 50% Fee Reduction or 25% Fee Reduction,50,Full Fee or Partial,35 across all campuses,Own assessment,,,"Scholarships available across Melbourne Senior Campus, King Khalid Coburg Campus (Primary), and Caroline Springs Campus",(03) 9350 4533,admissions.coburg@aia.vic.edu.au,True,85,2026-04-02T18:23:57
10,46298,Australian International Academy of Education - Senior Campus,Coburg North,3058,VIC,Independent,Non-Government,Combined,Co-ed,-37.7265,144.959,Major Cities,https://www.aia.vic.edu.au/,(03) 9350 4533,admissions.coburg@aia.vic.edu.au,https://www.aia.vic.edu.au/parents/scholarships,high,active,Quran Memorisation & Tajweed Scholarships,scholarship,Cultural,Islamic Studies/Religious Excellence,Co-ed,The Australian International Academy of Education offers Quran Memorisation & Tajweed Scholarships to students demonstrating excellence in Quranic studies. This scholarship reflects the school's dedication to Islamic education within its curriculum.,"These scholarships are specifically designed to recognize and support students who achieve excellence in Quran memorization and Tajweed (proper Quranic recitation). The school, which operates within a caring Islamic environment, offers these scholarships as part of its commitment to Islamic education. The awards aim to provide financial assistance to students who demonstrate exceptional achievement in these religious studies.",Students must demonstrate achievement and excellence in Quran memorization and Tajweed. Open to local and overseas students seeking admission to the school.,Multiple,,,TBA,,,0,Varies,,Own assessment,,,Specific to students with achievement in Islamic Quranic studies,(03) 9350 4533,admissions.coburg@aia.vic.edu.au,True,75,2026-04-02T18:23:57
