row,acara_id,school_name,suburb,postcode,state,sector,school_sector,school_type,gender,lat,lng,geolocation,website_url,school_phone,school_email,scholarship_url,scholarship_confidence,url_status,program_name,program_type,category,sub_type,gender_eligibility,overview,description,eligibility_criteria,year_levels,application_open_date,application_close_date,closing_label,days_left,value_aud,value_num,value_type,number_awarded,test_provider,test_month,application_fee,special_conditions,contact_phone,contact_email,is_active,extraction_confidence_score,last_verified_at
1,49883,Aranda Primary School,Aranda,2614,ACT,Government,Government,Primary,Co-ed,-35.256,149.08,Major Cities,https://www.arandaps.act.edu.au,(02) 6142 3030,info@arandaps.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:31
2,49931,Black Mountain School,O'Connor,2602,ACT,Government,Government,Special,Co-ed,-35.2652,149.112,Major Cities,https://www.bms.act.edu.au,02 6142 1400,BlackMtnSchool@ed.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:35
3,49910,Ainslie School,Braddon,2612,ACT,Government,Government,Primary,Co-ed,-35.2737,149.14,Major Cities,https://www.ainslies.act.edu.au,(02) 6142 3060,info@ainslies.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:38
4,49911,Alfred Deakin High School,Deakin,2600,ACT,Government,Government,Secondary,Co-ed,-35.3243,149.095,Major Cities,https://www.adhs.act.edu.au,02 6142 3888,info@adhs.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:41
5,49882,Amaroo School,Amaroo,2914,ACT,Government,Government,Combined,Co-ed,-35.16459,149.12774,Major Cities,https://www.amaroos.act.edu.au,02 6142 1266,info@amaroos.act.edu.au,,not_found,no_page,P-10 Apollo Program - Gifted & Talented,selective,Academic,Gifted and Talented,Co-ed,Amaroo School's Apollo Program aims to meet the social-emotional and intellectual learning needs of students identified as gifted or gifted and talented. The program develops identified students through strategic class placements with like-minded peers and differentiation of curriculum and instruction to optimise their learning and development.,"The Apollo Program is available to all students from Kindergarten to Year 10 who are identified as gifted or gifted and talented. Amaroo School identifies students through a range of objective and subjective measures including observations, assessments, and teacher recommendations. Students identified for the program are grouped according to giftedness as well as giftedness and talent, recognizing that some students are gifted but do not necessarily demonstrate their talents. The program operates within the mainstream school curriculum with differentiated provision rather than withdrawal programs. Students receive strategic class placements and differentiated curriculum and instruction tailored to their learning needs. The identification process is ongoing throughout the school year, and parents can contact the Apollo Program coordinator at info@amaroos.act.edu.au for more information about placement and program details.","Student must be identified as gifted or gifted and talented through objective and subjective assessment measures; Assessment may include observations, teacher recommendations, and standardized testing; Open to all students from Kindergarten to Year 10; Gifted students demonstrate potential to perform significantly beyond majority of peers in one or more skill areas such as language, problem solving, physical or interpersonal skills","Kindergarten, Year 1, Year 2, Year 3, Year 4, Year 5, Year 6, Year 7, Year 8, Year 9, Year 10",,,TBA,,,,Non-monetary,Multiple,Own assessment,,,"Gifted and talented identification is based on a range of objective and subjective measures. Program provides differentiated learning through curriculum adjustment and strategic class placement rather than removal from mainstream classes. Trained teaching staff develop strategies specific to identified gifted and talented students. Identification can occur throughout the school year. For more information, contact the Apollo Program coordinator at info@amaroos.act.edu.au.",,info@amaroos.act.edu.au,True,75,2026-04-17T01:46:47
6,49934,Arawang Primary School,Waramanga,2611,ACT,Government,Government,Primary,Co-ed,-35.355,149.06,Major Cities,https://www.arawangps.act.edu.au,02 6142 0660,arawangps.info@ed.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:47:25
7,49935,Bonython Primary School,Bonython,2905,ACT,Government,Government,Primary,Co-ed,-35.4318,149.083,Major Cities,https://www.bonythonps.act.edu.au,02 6142 0640,bonythonps@ed.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:47:31
8,49985,Burgmann Anglican School,Gungahlin,2912,ACT,Independent,Non-Government,Combined,Co-ed,-35.1885,149.124,Major Cities,https://www.burgmann.act.edu.au,02 6255 7700,admissions@burgmann.act.edu.au,https://www.burgmann.act.edu.au/beyond-the-classroom/enrichment-extension/instrumental-music-program,medium,active,Burgmann's Music Scholarship,scholarship,Music,Music Merit,Co-ed,Burgmann offers the Music Scholarship to students in Middle School or Senior School who demonstrate meritorious achievement and potential in music. The scholarship is funded by a generous community donor and provides individual music tuition support for 12 months.,"Burgmann's Music Scholarship is an annual award offered thanks to the generosity of a community donor. The scholarship is available to students in either Middle School or Senior School and is awarded based on meritorious achievement and potential in instrumental music performance. This scholarship provides individual music tuition for a duration of 12 months and offers a remission of 80% of music tuition fees and associated costs, which includes exam fees, books/materials, accompanist fees, and instrument hire charges as required for one academic year. The scholarship recognises students with demonstrated musical talent and commitment to their instrumental learning.",Currently enrolled in Middle School or Senior School; Demonstrated meritorious achievement and musical potential; Enrolled in instrumental music program at Burgmann,"Year 6, Year 7, Year 8, Year 9, Year 10, Year 11, Year 12",,,TBA,,80% Fee Reduction,80,Partial,,Audition,,,"Scholarship is awarded on the basis of meritorious achievement and potential in music. The remission covers 80% of music tuition fees and associated costs including exam fees, books/materials, accompanist fees, and instrument hire charges for one academic year. Scholarship is for the duration of 12 months and may be subject to annual review and renewal based on ongoing musical performance and engagement.",,,True,75,2026-04-17T01:47:34
9,49983,Blue Gum Community School,Hackett,2602,ACT,Independent,Non-Government,Combined,Co-ed,-35.2504,149.163,Major Cities,https://bluegum.act.edu.au,02 6230 6776,school@bluegum.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:47:36
10,40964,Burgmann Anglican School - Forde Campus,Forde,2914,ACT,Independent,Non-Government,Combined,Co-ed,-35.1699,149.147,Major Cities,https://www.burgmann.act.edu.au,02 6255 7700,admissions@burgmann.act.edu.au,https://www.burgmann.act.edu.au/beyond-the-classroom/enrichment-extension/instrumental-music-program,high,active,Music Scholarship,scholarship,Music,Music Merit,Co-ed,"Burgmann Anglican School offers the Music Scholarship, an award provided through the generosity of a community donor. The scholarship is available to students in Middle School or Senior School and recognises meritorious achievement and potential in music.","The Music Scholarship provides individual music tuition for a duration of 12 months, offering remission of 80% of music tuition fees and associated costs. This includes exam fees, books and materials, accompanist fees, and instrument hire charges as required for one academic year. The scholarship is awarded based on meritorious achievement and potential in music performance. Selection is determined by the school's music department assessment of student musical ability and commitment to instrumental learning.",Open to students in Middle School or Senior School; Demonstrated meritorious achievement and potential in music; Must be enrolled as a student at Burgmann Anglican School,"Year 6, Year 7, Year 8, Year 9, Year 10, Year 11",,,TBA,,80% Fee Reduction,80,Partial,,Own assessment,,,"Scholarship provides 12 months of remission for music tuition fees and associated costs including exam fees, books/materials, accompanist fees, and instrument hire charges as required for one academic year.",02 6255 7700,admissions@burgmann.act.edu.au,True,85,2026-04-17T01:47:38
11,53251,Aunty Agnes Shea High School,Taylor,2913,ACT,Government,Government,Secondary,Co-ed,-35.1485156540474,149.110393718971,Major Cities,https://www.agnessheahs.act.edu.au,,AGSH.information@ed.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:47:42
12,49937,Calwell Primary School,Calwell,2905,ACT,Government,Government,Primary,Co-ed,-35.4384,149.109,Major Cities,https://www.calwellps.act.edu.au,02 6205 6911,,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:48:29
13,49986,Canberra Christian School,Mawson,2607,ACT,Independent,Non-Government,Primary,Co-ed,-35.3565,149.098,Major Cities,https://ccs.act.edu.au,02 6286 3989,,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:48:31
14,49984,Brindabella Christian College,Lyneham,2602,ACT,Independent,Non-Government,Combined,Co-ed,-35.249,149.128,Major Cities,https://www.bcc.act.edu.au,+61 (2) 6190 7300,bcc@bcc.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:48:37
15,49884,Belconnen High School,Hawker,2614,ACT,Government,Government,Secondary,Co-ed,-35.247,149.039,Major Cities,https://www.blch.act.edu.au,02 6142 1690,info_blch@ed.act.edu.au,,not_found,active,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:48:38
16,49913,Campbell Primary School,Campbell,2612,ACT,Government,Government,Primary,Co-ed,-35.2903,149.156,Major Cities,https://www.campbellps.act.edu.au,02 6142 3580,campbellps@ed.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:48:39
17,49912,Campbell High School,Campbell,2612,ACT,Government,Government,Secondary,Co-ed,-35.2781,149.147,Major Cities,https://www.campbellhs.act.edu.au,(02) 6142 3166,Info.CampbellHighSchool@ed.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:48:41
18,49936,Calwell High School,Calwell,2905,ACT,Government,Government,Secondary,Co-ed,-35.4411,149.118,Major Cities,https://www.calwellhs.act.edu.au/,02 6142 1930,info@calwellhs.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:48:46
19,40328,Caroline Chisholm School,Chisholm,2905,ACT,Government,Government,Secondary,Co-ed,-35.4182,149.122,Major Cities,https://www.chisholm.act.edu.au,02 6142 3550,info@chisholm.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:49:37
20,40354,Canberra Grammar School - Northside Infants Campus,Campbell,2612,ACT,Independent,Non-Government,Primary,Co-ed,-35.2853,149.147,Major Cities,https://cgs.act.edu.au,02 6260 9700,admissions@cgs.act.edu.au,,high,active,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:49:45
21,50223,Caroline Chisholm School - Junior Campus,Chisholm,2905,ACT,Government,Government,Primary,Co-ed,-35.4182,149.122,Major Cities,https://www.chisholm.act.edu.au,02 6142 3555,info@chisholm.act.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:50:54
22,49991,Canberra Montessori School,Holder,2611,ACT,Independent,Non-Government,Primary,Co-ed,-35.3322,149.051,Major Cities,https://cms.act.edu.au,02 6287 1962,admin@cms.act.edu.au,https://cms.act.edu.au/enrolments-faqs/faq-for-current-families/,high,active,Short-Term Fees Relief,financial_assistance,Financial Need,Financial Hardship,Co-ed,Canberra Montessori School offers short-term fees relief to families experiencing financial hardship. This program is designed to assist families who face temporary financial difficulties and need support with tuition costs.,Canberra Montessori School provides short-term fees relief as a form of financial assistance for families in financial hardship. The program does not offer formal scholarships to the general public but recognizes that families may experience temporary financial difficulties and provides support to help them maintain their child's enrolment. The specific financial value and duration of this relief is flexible and determined based on individual family circumstances. Families experiencing financial hardship are encouraged to contact the school directly to discuss their situation and explore available assistance options.,Families experiencing financial hardship; Need-based assessment on individual circumstances; Enrolment at Canberra Montessori School,All Years,,,TBA,,Varies,,Varies,,,,,Families must contact the school directly to apply. Eligibility is assessed on a case-by-case basis. Short-term relief is designed for temporary financial difficulties rather than ongoing support.,02 6287 1962,admin@cms.act.edu.au,True,90,2026-04-17T01:50:57
23,49938,Chapman Primary School,Chapman,2611,ACT,Government,Government,Primary,Co-ed,-35.3569,149.043,Major Cities,https://www.chapmanps.act.edu.au,02 6142 2400,chapmanps.info@ed.act.edu.au,,not_found,no_page,School Equity Fund,financial_assistance,Financial Need,Financial Hardship,Co-ed,"Chapman Primary School operates an equity fund to assist families experiencing financial difficulty with the costs of schooling. The fund supports families to meet school-related expenses including uniforms, stationery, excursions, camps, and other school costs.","The Chapman Primary School Equity Fund is a financial assistance program designed to help families who are experiencing difficulty meeting the costs of schooling. The fund can be used to assist with a range of school expenses including school uniforms, stationery items, excursion costs, band participation costs, and other school-related expenses. Families experiencing financial difficulties are encouraged to contact the school confidentially to discuss support with the Principal or Business Manager. The school has made every effort to keep costs to a minimal level and support is available on a confidential basis.",Families experiencing financial difficulty with school costs; Open to all enrolled students; Confidential discussion with Principal or Business Manager required,All Years,,,TBA,,Varies,,Non-monetary,,Financial Assessment,,,"Financial assistance is provided on a confidential basis. Families must speak directly with the Principal or Business Manager to discuss their situation. Support is available for book packs, uniforms, excursions, camps, band programs, and other school-related costs.",02 6142 2400,chapmanps.info@ed.act.edu.au,True,85,2026-04-17T01:50:59
24,49988,Canberra Girls Grammar School,Deakin,2600,ACT,Independent,Non-Government,Secondary,Girls,-35.317,149.115,Major Cities,https://www.cggs.act.edu.au,02 6202 6400,enrolments@cggs.act.edu.au,https://www.cggs.act.edu.au/enrolments/enrolments/scholarship-and-bursary-program,high,active,Principal's Scholarship of Excellence,scholarship,Leadership,All-Rounder,Girls,"The Principal's Scholarship of Excellence recognises outstanding applicants who demonstrate consistent excellence across multiple disciplines and activities. This award is offered to all-rounders who combine academic achievement with high achievement in sports, music, artistic pursuits or across other areas of school life.","The Principal's Scholarship of Excellence recognises exceptional all-round achievement across multiple disciplines and activities. Recipients demonstrate outstanding academic ability with mostly A grades across all subject areas, an exemplary work ethic, and consistent application to all pursuits. The scholarship provides 25% remission of tuition fees from Years 7–12, or for the remainder of the Scholar's enrolment. Selection is based on a written assessment via Academic Assessment Services (AAS), and applicants may be means-tested as part of the process. The recipient must articulately express academic, career, personal and/or service and leadership goals, demonstrate significant leadership and/or service roles in their school or community, and show willingness to make a positive contribution to the overall life of the School. Renewal is conditional upon maintaining eligibility criteria and satisfactory academic and conduct standards.","Open to students entering Years 7–12; Outstanding academic ability with mostly A grades across all subject areas; Consistent record of excellence across multiple disciplines and activities; Evidence of exemplary work ethic and consistent application to all pursuits; Ability to articulate academic, career, personal and/or service and leadership goals; Eagerness to embrace the breadth of opportunities on offer at CGGS; Willingness and ability to make a positive and significant contribution to the overall life of the School; Potential and desire to lead, mentor and support peers at CGGS; Evidence of significant leadership and/or service roles in school or community; Willingness and ability to act as an ambassador for CGGS; Collaborative attitude towards peers and teachers; Active participation and achievement in school co-curricular programs","Year 7, Year 8, Year 9, Year 10, Year 11, Year 12",,,Closed,,25% Fee Reduction,25,Partial,,AAS,,,Scholarships are offered subject to annual review. School reserves the right to withdraw any Scholarship in the event of unsatisfactory academic or conduct standards. Recipients must maintain eligibility criteria and satisfactory progress throughout their enrolment.,,,True,85,2026-04-17T01:51:16
25,49988,Canberra Girls Grammar School,Deakin,2600,ACT,Independent,Non-Government,Secondary,Girls,-35.317,149.115,Major Cities,https://www.cggs.act.edu.au,02 6202 6400,enrolments@cggs.act.edu.au,https://www.cggs.act.edu.au/enrolments/enrolments/scholarship-and-bursary-program,high,active,Gabriel Foundation Scholarship (Academic),scholarship,Academic,General Academic Merit,Girls,"The Gabriel Foundation Scholarship (Academic) recognises outstanding academic achievement and dedication to learning. It is awarded to students who demonstrate exemplary work ethic, consistent application to all academic pursuits, and achievement at their academic potential in all areas of School life.","The Gabriel Foundation Scholarship (Academic) is awarded to students with exceptional academic achievement and unwavering commitment to learning. Recipients demonstrate an exemplary work ethic, consistent application to all academic pursuits, and consistent achievement at their academic potential in all areas of School life. They act as role models to others through striving for academic excellence. The scholarship provides 25% remission of tuition fees from Years 7–12, or for the remainder of the Scholar's enrolment. There are four Gabriel Foundation Scholarships available annually. Selection involves written assessment via Academic Assessment Services (AAS) and applicants may request means-testing as part of the process. Recipients are expected to maintain academic standards and conduct throughout their enrolment.",Open to students entering Years 7–12; Exemplary work ethic and consistent application to all academic pursuits; Consistent achievement at their academic potential in all areas of School life; Evidence of acting as a role model to others through striving for academic excellence; Shows evidence of a strong work ethic and consistent application to School-related pursuits; Consistently works towards and/or achieves at their potential; Has the ability to make a positive and significant contribution to the life of the School,"Year 7, Year 8, Year 9, Year 10, Year 11, Year 12",,,Closed,,25% Fee Reduction,25,Partial,4 per year,AAS,,,Four Gabriel Foundation Scholarships available annually. Subject to annual review. School reserves the right to withdraw any Scholarship in the event of unsatisfactory academic progress or conduct. Conditional upon recipient maintaining eligibility criteria and satisfactory academic standards throughout enrolment.,,,True,85,2026-04-17T01:51:16
26,49988,Canberra Girls Grammar School,Deakin,2600,ACT,Independent,Non-Government,Secondary,Girls,-35.317,149.115,Major Cities,https://www.cggs.act.edu.au,02 6202 6400,enrolments@cggs.act.edu.au,https://www.cggs.act.edu.au/enrolments/enrolments/scholarship-and-bursary-program,high,active,"Scholarship Stream (Sport, Music, Arts and All-Rounder)",scholarship,All-Rounder,Multi-Discipline Excellence,Girls,"The Scholarship Stream recognises and rewards students who have demonstrated academic excellence in combination with high achievement in sports, music, artistic pursuits, or across multiple disciplines. This is the School's primary stream for identifying talented students across various fields.","The Scholarship Stream specifically acknowledges and rewards students who have demonstrated academic excellence in combination with high achievement in sport, music, artistic pursuits, or across multiple disciplines. This stream also provides opportunities for Indigenous students, with boarding as an offering for students in remote, regional and rural communities. Scholarships are generally awarded at 25% remission of tuition and/or boarding fees from Years 7–12, or for the remainder of the Scholar's enrolment. However, Scholarship applicants can request to have their applications means-tested as part of the process to potentially access higher levels of support. Selection requires applicants to sit the Academic Assessment Services (AAS) test. Recipients are evaluated on their demonstrated academic excellence combined with evidence of high achievement in extracurricular pursuits, work ethic, and potential to contribute to the School community.","Open to students entering Years 7–12; Demonstrated academic excellence; Evidence of high achievement in sport, music, artistic pursuits or across multiple disciplines; For Indigenous students: appropriate identification and documentation; For boarding: residency in remote, regional or rural communities; Ability to make a positive and significant contribution to the life of the School; For boarders: ability and desire to make a positive and significant contribution to the Boarding House","Year 7, Year 8, Year 9, Year 10, Year 11, Year 12",,,Closed,,25% Fee Reduction,25,Partial,,AAS,,,Applicants can request means-testing to potentially access higher levels of support beyond standard 25% remission. Subject to annual review. Recipients must maintain academic standards and conduct throughout enrolment.,,,True,85,2026-04-17T01:51:16
