row,acara_id,school_name,suburb,postcode,state,sector,school_sector,school_type,gender,lat,lng,geolocation,website_url,school_phone,school_email,scholarship_url,scholarship_confidence,url_status,program_name,program_type,category,sub_type,gender_eligibility,overview,description,eligibility_criteria,year_levels,application_open_date,application_close_date,closing_label,days_left,value_aud,value_num,value_type,number_awarded,test_provider,test_month,application_fee,special_conditions,contact_phone,contact_email,is_active,extraction_confidence_score,last_verified_at
1,50073,Adelaide River School,Adelaide River,846,NT,Government,Government,Combined,Co-ed,-13.2371,131.109,Remote,,,,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:32
2,50072,Acacia Hill School,Sadadeen,871,NT,Government,Government,Special,Co-ed,-23.7007,133.898,Remote,https://www.acaciahill.nt.edu.au/,08 8955 2222,acaciahill.school@education.nt.gov.au,,not_found,active,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:38
3,50075,Alpurrurulam School,Alpurrurulam,4825,NT,Government,Government,Combined,Co-ed,-20.9878,137.848,Very Remote,http://www.schools.nt.edu.au/sandovergroup/alp-index.html,07 4748 4887,,,not_found,unverified,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:39
4,50054,Alekarenge School,Ali Curung,872,NT,Government,Government,Combined,Co-ed,-21.0038,134.406,Very Remote,http://www.nationwide.com.au/alekarengeschool/,08 8964 1957,admin.alekacec@education.nt.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:40
5,50010,Alawa Primary School,Alawa,810,NT,Government,Government,Primary,Co-ed,-12.3802,130.878,Outer Regional,https://www.alawaprimary.nt.edu.au,08 8997 7666,alawa.school@education.nt.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:42
6,50008,Alice Springs School Of The Air,Alice Springs,870,NT,Government,Government,Combined,Co-ed,-23.6781,133.866,Remote,https://www.assoa.nt.edu.au,08 8951 6800,assoa@assoa.nt.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:42
7,50157,Alice Springs Steiner School,Ross,873,NT,Independent,Non-Government,Combined,Co-ed,-23.7438,133.882,Remote,https://www.alicesteiner.nt.edu.au,08 8953 4578,office@alicesteiner.nt.edu.au,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:43
8,50074,Alcoota School,Engawala,872,NT,Government,Government,Combined,Co-ed,-22.8024,134.455,Very Remote,http://www.schools.nt.edu.au/sandovergroup/alcindex.html,08 8956 9977,suzanne.stone@ntschools.net,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:43
9,50055,Angurugu School,Angurugu,822,NT,Government,Government,Combined,Co-ed,-13.9825,136.459,Very Remote,https://web.ntschools.net/w/angurugu/pages/Home.aspx,08 8987 6355,admin.angurcec@ntschools.net,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:47:22
10,50077,Ampilatwatja School,Ampilatwatja,872,NT,Government,Government,Combined,Co-ed,-21.6537,135.225,Very Remote,http://www.schools.nt.edu.au/ampil/,08 8956 9799,,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:47:24
