row,acara_id,school_name,suburb,postcode,state,sector,school_sector,school_type,gender,lat,lng,geolocation,website_url,school_phone,school_email,scholarship_url,scholarship_confidence,url_status,program_name,program_type,category,sub_type,gender_eligibility,overview,description,eligibility_criteria,year_levels,application_open_date,application_close_date,closing_label,days_left,value_aud,value_num,value_type,number_awarded,test_provider,test_month,application_fee,special_conditions,contact_phone,contact_email,is_active,extraction_confidence_score,last_verified_at
1,46412,Acacia Ridge State School,Acacia Ridge,4110,QLD,Government,Government,Primary,Co-ed,-27.5796,153.016,Major Cities,https://acaciaridgess.eq.edu.au,,,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:19
2,47089,Abergowrie State School,Abergowrie,4850,QLD,Government,Government,Primary,Co-ed,-18.4748,145.884,Remote,https://abergowriess.eq.edu.au,07 4777 4672,admin@abergowriess.eq.edu.au,,not_found,broken,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:27
3,46801,Abercorn State School,Abercorn,4627,QLD,Government,Government,Primary,Co-ed,-25.136,151.127,Outer Regional,https://abercornss.eq.edu.au,07 4167 5190,,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:30
4,47391,Agnes Water State School,Agnes Water,4677,QLD,Government,Government,Primary,Co-ed,-24.214,151.911,Outer Regional,https://agneswaterss.eq.edu.au,07 4902 1333,admin@agneswaterss.eq.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:32
5,46899,Aitkenvale State School,Aitkenvale,4814,QLD,Government,Government,Primary,Co-ed,-19.2965,146.763,Outer Regional,https://aitkenvaless.eq.edu.au,(07) 4421 2333,principal@aitkenvaless.eq.edu.au,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:33
6,46805,Airville State School,Airville,4807,QLD,Government,Government,Primary,Co-ed,-19.6552,147.348,Outer Regional,https://airvilless.eq.edu.au/,07 4790 7333,principal@airvilless.eq.edu.au,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:33
7,48059,Aboriginal & Islander Independent Community School,Acacia Ridge,4110,QLD,Independent,Non-Government,Combined,Co-ed,-27.5812,153.026,Major Cities,https://murrischool.qld.edu.au,(07) 3255 6133,info@murrischool.qld.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:37
8,46546,Albany Creek State School,Albany Creek,4035,QLD,Government,Government,Primary,Co-ed,-27.3461,152.971,Major Cities,https://albanycreekss.eq.edu.au,07 3264 0111,admin@albanycreekss.eq.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:38
9,47310,Albany Hills State School,Albany Creek,4035,QLD,Government,Government,Primary,Co-ed,-27.3604,152.973,Major Cities,https://albahillss.eq.edu.au,+61 7 3264 0777,principal@albahillss.eq.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:41
10,40769,Albert Park Flexible School,Milton,4064,QLD,Independent,Non-Government,Special,Co-ed,-27.4662,153.011,Major Cities,https://albertpark.flexi.edu.au,07 3071 9010,albertpark@flexi.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:46
11,47373,Alexandra Bay State School,Diwan,4873,QLD,Government,Government,Primary,Co-ed,-16.2139,145.422,Remote,https://alexbayss.eq.edu.au,07 4098 9137,admin@alexbayss.eq.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:46
12,46424,Albert State School,Maryborough,4650,QLD,Government,Government,Primary,Co-ed,-25.5468,152.704,Inner Regional,https://albertss.eq.edu.au,07 4120 0888,admin@albertss.eq.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:49
13,46686,Alexandra Hills State School,Alexandra Hills,4161,QLD,Government,Government,Primary,Co-ed,-27.5183,153.221,Major Cities,https://alexandrahillsss.eq.edu.au,07 3820 0333,,,not_found,unverified,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:51
