row,acara_id,school_name,suburb,postcode,state,sector,school_sector,school_type,gender,lat,lng,geolocation,website_url,school_phone,school_email,scholarship_url,scholarship_confidence,url_status,program_name,program_type,category,sub_type,gender_eligibility,overview,description,eligibility_criteria,year_levels,application_open_date,application_close_date,closing_label,days_left,value_aud,value_num,value_type,number_awarded,test_provider,test_month,application_fee,special_conditions,contact_phone,contact_email,is_active,extraction_confidence_score,last_verified_at
1,49340,Adelaide North Special School,Munno Para West,5115,SA,Government,Government,Special,Co-ed,-34.6636,138.68494,Major Cities,https://anss.sa.edu.au,08 8254 2625,dl.0476.info@schools.sa.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:30
2,49559,Adelaide East Education Centre,Campbelltown,5074,SA,Government,Government,Special,Co-ed,-34.873,138.673,Major Cities,https://adelaideeastec.sa.edu.au,08 8337 6345,dl.0997.info@schools.sa.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:32
3,49360,Aberfoyle Hub Primary School,Aberfoyle Park,5159,SA,Government,Government,Primary,Co-ed,-35.0781,138.595,Major Cities,https://www.ahs.sa.edu.au,08 8370 5500,dl.0536.info@schools.sa.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:34
4,49664,Adelaide Secondary School of English,West Croydon,5008,SA,Government,Government,Secondary,Co-ed,-34.8864,138.566,Major Cities,https://www.adsecenglish.sa.edu.au,08 8340 3733,[email protected],,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:36
5,52254,Adelaide International School,Adelaide,5000,SA,Independent,Non-Government,Secondary,Co-ed,-34.923,138.604,Major Cities,https://ais.edu.au,08 8123 1786,info@ais.edu.au,https://ais.edu.au/enrol/school-scholarships/,high,active,AIS Merit-Based Scholarship,scholarship,Academic,General Academic Merit,Co-ed,"Adelaide International School offers a limited number of merit-based scholarships to eligible students each year. The scholarship recognises students with strong academic performance, leadership qualities, and community involvement. Successful applicants can receive recognition of their achievement and may receive a reduction of up to 50% of tuition fees.","Adelaide International School provides merit-based scholarships to students entering the school who demonstrate exceptional academic ability and achievement. The scholarship is awarded based on individual merit and not all applicants receive scholarships. Scholarships are based on full course tuition fees, not on any discounted fees. Generally, a scholarship will not exceed 50% of course fees, though scholarships in excess of 50% may be granted in exceptional circumstances. The selection process involves assessment of academic performance through the two most recent school reports, which must demonstrate at least average to high competence with passing grades in English being essential. Applicants must provide evidence through a letter from their school principal detailing unique circumstances that merit consideration for enrolment, plus certificates or letters of commendation from teachers or school principals. Scholarships do not apply to fees other than tuition fees; uniforms, homestay fees, and material fees are not subject to discount. The application requires completion of the AIS Scholarship Application Form available on the school website.",Open to all prospective students; Must be of at least average to high competence academically; Passing grades in English are essential; Scholarships awarded based on individual merit; Not all applicants will receive scholarships; Scholarships awarded to applicants who best meet the application criteria,All Years,,,TBA,,Up to 50% Fee Reduction,50,Partial,Multiple,Portfolio,,,"Scholarships are based on full course tuition fees, not on any discounted fees. In general, a scholarship will not exceed 50% of course fees. A scholarship in excess of 50% will only be granted in exceptional circumstances. Scholarships do not apply to any fees other than tuition fees including uniforms, homestay fees, and material fees. The terms and conditions applicable to payment of fees will apply to scholarship holders. Applicants must download and complete the AIS Scholarship Application Form to apply. Selection is based on evidence of academic competence from school reports, letter from school principal regarding unique circumstances, and certificates or letters of commendation.",,,True,85,2026-04-17T01:45:43
6,52576,Adelaide Botanic High School,Adelaide,5000,SA,Government,Government,Secondary,Co-ed,-34.91691,138.60659,Major Cities,https://abhs.sa.edu.au,08 8214 7700,dl.1919.info@schools.sa.edu.au,https://abhs.sa.edu.au/enrolment/selective-entry/,low,broken,Health and Sciences (STEM) Pathways Program,selective,STEM,Selective Entry,Co-ed,"Adelaide Botanic High School offers the Health and Sciences (STEM) Pathways Program as a special entry program to families from all over South Australia, regardless of residential address. The program provides access to learning and facilities that support students on a Health and Sciences (STEM) high-level pathway who are seeking extension and stretch opportunities.","The Health and Sciences (STEM) Pathways Program at Adelaide Botanic High School provides up to 20 positions annually for out-of-zone students who demonstrate high-level interest and success in STEM areas. Students gain access to choice in a range of STEM-underpinned subjects, explicit development of problem-solving, collaboration, creativity, entrepreneurship and critical thinking skills evidenced in an ePortfolio, and mentoring by targeted school, industry or university students/staff. Applicants must provide a written component and copy of school report, submit a short 30-second video talking about personal interest in STEM, and sit the ACER Higher Ability Skills Test in Adelaide on Saturday, 28 February 2026 at a cost of $115.00. The program offers right of entry to Adelaide Botanic High School for out-of-zone students, targeted opportunities in Years 7-9 to participate in STEM events and competitions, Middle Years Studio participation, and support, challenge and skills to be successful and well prepared to enter high level tertiary Health and Sciences (STEM) courses.","Students who reside outside the school zone; Demonstrated high-level interest and success in one or more STEM areas; Must be in Year 5 (in 2025) for 2026 entry; Must intend completing SACE Stage 2 (Year 12) at Adelaide Botanic High School; Must intend studying senior Mathematics, Science and/or Technology subjects; Must uphold the school's values and actively promote the program to the wider school community",Year 7,2025-12-15,,Closed,,Non-monetary,,Non-monetary,Up to 20 annually,ACER,February,$115,"Registrations completed via Adelaide Botanic High School website accessible from mid December to mid February. Applicants must sit the ACER Higher Ability Skills Test in Adelaide on Saturday, 28 February 2026. Students must provide a copy of Year 5 Semester 2 school report and a 30-second introduction video as part of the online application. Program offers right of entry to Adelaide Botanic High School for out-of-zone students. Recipients must maintain commitment to senior Mathematics, Science and/or Technology subjects and participate in national competitions and STEM-related extension activities.",,ABHS.Enrolments30@schools.sa.edu.au,True,85,2026-04-17T01:45:46
7,49453,Adelaide High School,Adelaide,5000,SA,Government,Government,Secondary,Co-ed,-34.9257,138.587,Major Cities,https://www.adelaidehs.sa.edu.au,+61 8 8231 9373,[email protected],https://adelaidehs.sa.edu.au/enrolment/special-entry-programs,medium,active,Special Language Entry Program,selective,Cultural,Selective Entry,Co-ed,"Adelaide High School offers Special Language Entry for students who demonstrate strong interest and potential in language learning. The program provides access to Australia's only Special Interest Language School, enabling students to develop world-class communication skills and engage with global communities.","The Special Language Entry Program at Adelaide High School provides students with the opportunity to study two of eight languages offered at the school until Year 10, and at least one language through SACE Stage 2. Adelaide High School is South Australia's only Special Interest Language School. Students selected for this program commit to extensive language study and may participate in international study tours. The selection process involves submission of an online application with written responses, school reports and relevant supporting information, and a formal interview. Selection is based on demonstrated interest, motivation, and potential in language learning.",Year 7 entry; Online application required; School reports and supporting information required; Interview required; Commitment to study two languages until Year 10 and at least one until SACE Stage 2,Year 7,,,Closed,,,,Non-monetary,,Interview,April,,Students must commit to study two languages at Adelaide High School until Year 10 and at least one language until the end of SACE Stage 2 level. Interviews are scheduled for early April 2026.,,[email protected],True,85,2026-04-17T01:45:49
8,49453,Adelaide High School,Adelaide,5000,SA,Government,Government,Secondary,Co-ed,-34.9257,138.587,Major Cities,https://www.adelaidehs.sa.edu.au,+61 8 8231 9373,[email protected],https://adelaidehs.sa.edu.au/enrolment/special-entry-programs,medium,active,Special Entry Cricket Program,selective,Sports,Elite Sport,Co-ed,Adelaide High School's Cricket Program provides talented cricketers from outside the school zone with the opportunity to enrol and develop their skills at the school. The program incorporates a talent identification process and provides access to accredited coaching and professional facilities.,"The Adelaide High School Cricket Program is designed for talented cricketers who wish to pursue elite cricket development. Students selected through the program commit to prioritizing cricket during their enrolment at Adelaide High School, though they are encouraged to participate in different winter sports. The selection process includes a skill assessment conducted at Adelaide Oval where applicants demonstrate their cricket abilities in batting, bowling, and fielding. Shortlisted students are offered interviews, and successful applicants must commit to the Cricket Program for the duration of their enrolment. Additional fees apply to students enrolled in the Cricket Program. The program is open to both students from outside the school zone and current Adelaide High School students.",Year 7 entry for external applicants; Demonstrated cricket talent and ability; Skill assessment at Adelaide Oval required; Interview required; Current school students may also participate; Outside school zone students eligible,Year 7,,,Closed,,,,Non-monetary,,Audition,March,,"Additional fees apply to students enrolled in the Cricket Program. Cricket involvement takes precedence over other sports, though students are encouraged to participate in different winter sports. Skill assessment held at Adelaide Oval on 31 March 2026. Shortlisted applicants only are invited for interviews.",,[email protected],True,85,2026-04-17T01:45:49
9,49453,Adelaide High School,Adelaide,5000,SA,Government,Government,Secondary,Co-ed,-34.9257,138.587,Major Cities,https://www.adelaidehs.sa.edu.au,+61 8 8231 9373,[email protected],https://adelaidehs.sa.edu.au/enrolment/special-entry-programs,medium,active,Special Entry Rowing Program,selective,Sports,Elite Sport,Co-ed,Adelaide High School's Rowing Program offers talented rowers from outside the school zone the opportunity to enrol and join the school's proud rowing tradition. The program incorporates talent identification selection and provides access to professional rowing facilities and coaching.,"The Adelaide High School Rowing Program provides students with elite rowing opportunities and access to the school's historic rowing tradition dating back to 1911. The program includes training at the River Torrens boatshed and a shared facility at West Lakes. Students selected through the talent identification process commit to prioritizing rowing during their enrolment, though they are encouraged to participate in different winter sports. The selection process involves a skill assessment at Adelaide High School where students demonstrate their rowing abilities and potential. Shortlisted students are offered interviews, and successful applicants must commit to the Rowing Program. A Come and Try Rowing Program is also available in Term 3 for interested students. The program is open to both students from outside the school zone and current Adelaide High School students.",Year 7 entry for external applicants; Demonstrated rowing talent and ability; Skill assessment required; Interview required; Outside school zone students eligible; Current school students also eligible,Year 7,,,Closed,,,,Non-monetary,,Audition,April,,"Skill assessment held at Adelaide High School on 1 April 2026. Rowing involvement takes precedence over other sports, though students are encouraged to participate in different winter sports. Shortlisted applicants only are invited for interviews. A Come and Try Rowing Program is available in Term 3 for co-curricular participation.",,[email protected],True,85,2026-04-17T01:45:49
10,49663,Aberfoyle Park High School,Aberfoyle Park,5159,SA,Government,Government,Secondary,Co-ed,-35.0732,138.595,Major Cities,https://aphs.sa.edu.au,08 8270 4455,dl.1673.info@schools.sa.edu.au,https://aphs.sa.edu.au/programs/ignite/,high,active,IGNITE Program,selective,Academic,Gifted and Talented,Co-ed,"Aberfoyle Park High School's IGNITE program is a Year 7-10 specialist learning program designed for gifted and talented students. The program provides students with an environment to explore and develop their academic gifts while supporting the development of fundamental life skills. As the official Department for Education school for gifted students in the southern metropolitan area of Adelaide, IGNITE serves approximately 50 students per year.","The IGNITE Program is a Year 7 to 10 specialist learning program catered to the needs of gifted students. The program provides students with an environment to explore and develop their academic gifts, while supporting the development of fundamental life skills. Unlike independent schools, this is a government school program with no direct financial cost for tuition beyond standard school materials and services fees ($655 in 2025, reduced to $455 with government rebate). Students work on a curriculum designed specifically for gifted learners and are immersed in classes with their intellectual peers. Selection is through an ACER Higher Ability Selection Test (HAST) held annually in February. Students can accelerate at a rate appropriate to their ability and have access to enrichment activities and programs. The program includes a two-year specialist music program and recognition of academic benefits from learning an additional language (Spanish or Japanese). Core curriculum covers English, Mathematics, Science and Humanities with integrated learning across themes. Based on assessment results, further assessment of suitability may be involved.","Open to all students regardless of school zone; Year 6 students eligible to sit test for Year 7 entry; Year 7 students eligible for Year 8 entry; Must sit ACER Higher Ability Selection Test; Year 5 students may apply with signed letter of recommendation from primary school principal; Selection based on demonstrated ability in reading comprehension, mathematical reasoning, abstract reasoning, and written expression","Year 7, Year 8, Year 9, Year 10",2026-01-01,,Closed,,Non-monetary,,Non-monetary,Up to 50 annually,ACER,February,,"Registration for ACER HAST test is conducted through ACER portal. Registrations close Sunday 8 February 2026. ACER registration fee applies (approximately $160 for general applicants, with $135 refund available for School Card holders). Students receive results within nine to ten weeks. The program operates in tandem with standard South Australian Curriculum and SACE requirements. This is a Department for Education funded program providing specialized support for identified gifted and talented students.",,APHS.Ignite447@schools.sa.edu.au,True,95,2026-04-17T01:45:49
