row,acara_id,school_name,suburb,postcode,state,sector,school_sector,school_type,gender,lat,lng,geolocation,website_url,school_phone,school_email,scholarship_url,scholarship_confidence,url_status,program_name,program_type,category,sub_type,gender_eligibility,overview,description,eligibility_criteria,year_levels,application_open_date,application_close_date,closing_label,days_left,value_aud,value_num,value_type,number_awarded,test_provider,test_month,application_fee,special_conditions,contact_phone,contact_email,is_active,extraction_confidence_score,last_verified_at
1,44727,Aberfeldie Primary School,Essendon,3040,VIC,Government,Government,Primary,Co-ed,-37.7566,144.896,Major Cities,https://www.aberfeldieps.vic.edu.au,(03) 9337 8084,aberfeldie.ps@education.vic.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:43:02
2,44370,Abbotsford Primary School,Abbotsford,3067,VIC,Government,Government,Primary,Co-ed,-37.8091,144.999,Major Cities,https://www.abbotsfordps.vic.edu.au,03 9428 5977,abbotsford.ps@education.vic.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:43:02
3,52379,Advance College of Education Incorporated - Hastings Hub,Hastings,3915,VIC,Independent,Non-Government,Special,Co-ed,-38.2973,145.185,Major Cities,https://advancecollege.vic.edu.au/,03 5986 4623,aceinfo@advance.vic.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:43:03
4,52378,Advance College of Education Incorporated,Rosebud,3939,VIC,Independent,Non-Government,Special,Co-ed,-38.3827,144.885,Major Cities,https://advancecollege.vic.edu.au,03 5986 4623,aceinfo@advance.vic.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:43:08
5,44886,Ainslie Parklands Primary School,Croydon,3136,VIC,Government,Government,Primary,Co-ed,-37.7938,145.264,Major Cities,https://www.ainslieparklandsps.vic.edu.au,03 9870 1566,ainslie.parklands.ps@education.vic.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:43:09
6,52146,Adass Israel School - Glen Eira Road Campus,St Kilda East,3183,VIC,Independent,Non-Government,Combined,Co-ed,-37.8769,144.998,Major Cities,https://www.adass.vic.edu.au,03 9523 6422,principal@adass.vic.edu.au,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:43:10
7,46214,Adass Israel School - Orrong Road Campus,Elsternwick,3185,VIC,Independent,Non-Government,Combined,Co-ed,-37.8835,145.006,Major Cities,https://adass.vic.edu.au,03 9523 6422,,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:43:15
8,52430,Advance College of Education Incorporated - Mornington Campus,Mornington,3931,VIC,Independent,Non-Government,Special,Co-ed,-38.2329,145.036,Major Cities,https://advancecollege.vic.edu.au,03 5986 4623,aceinfo@advance.vic.edu.au,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:43:16
9,52936,Aintree Primary School,Aintree,3336,VIC,Government,Government,Primary,Co-ed,-37.72345,144.665973,Major Cities,https://www.aintreeps.vic.edu.au,03 9218 6200,aintree.ps@education.vic.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:43:16
10,45704,Academy of Mary Immaculate,Fitzroy,3065,VIC,Independent,Non-Government,Secondary,Girls,-37.8037,144.974,Major Cities,https://www.academy.vic.edu.au,03 9412 7100,enquiry@academy.vic.edu.au,not_found,not_found,no_page,Financial Hardship Assistance,financial_assistance,Financial Need,Financial Hardship,Girls,The Academy of Mary Immaculate offers financial hardship assistance to families experiencing financial difficulties. The College considers alternative payment options and fee reduction options on a case-by-case basis for eligible families.,"Families who experience financial hardship may apply for consideration of alternative payment options to assist them in meeting their financial obligations. The College offers fee rebates that are limited to a maximum of 50% of the annual tuition fee. A holding deposit of $750 is requested from families and is non-refundable and non-transferable, but will be credited towards any future fees once the student returns to the College. All requests for fee reduction due to financial hardship must be made in writing to the Principal. Consideration for financial assistance is made on an individual basis by the College Business Manager.",Families experiencing financial hardship; Must submit written request to the Principal; Individual assessment of circumstances required,All Years,,,TBA,,Up to 50% Fee Reduction,50,Partial,Multiple,Financial Assessment,,,Maximum fee rebate limited to 50% of annual tuition fee. Holding deposit of $750 is non-refundable and non-transferable but will be credited towards future fees. All requests must be made in writing to the Principal. Consideration is made on an individual basis by the College Business Manager.,03 9412 7100,enquiry@academy.vic.edu.au,True,85,2026-04-17T01:43:18
