row,acara_id,school_name,suburb,postcode,state,sector,school_sector,school_type,gender,lat,lng,geolocation,website_url,school_phone,school_email,scholarship_url,scholarship_confidence,url_status,program_name,program_type,category,sub_type,gender_eligibility,overview,description,eligibility_criteria,year_levels,application_open_date,application_close_date,closing_label,days_left,value_aud,value_num,value_type,number_awarded,test_provider,test_month,application_fee,special_conditions,contact_phone,contact_email,is_active,extraction_confidence_score,last_verified_at
1,50565,Andrews Creek Primary School,Wesley Vale,7307,TAS,Government,Government,Primary,Co-ed,-41.189,146.459,Outer Regional,https://andrewscreekprimary.education.tas.edu.au,03 6428 4088,Andrews.Creek.Primary@education.tas.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:26
2,40253,Ashley School,Deloraine,7304,TAS,Government,Government,Special,Co-ed,-41.5249,146.704,Outer Regional,https://ashley.education.tas.edu.au,03 6362 8222,Ashley@education.tas.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:28
3,50262,Austins Ferry Primary School,Claremont,7011,TAS,Government,Government,Primary,Co-ed,-42.7849,147.239,Inner Regional,https://austinsferryprimary.education.tas.edu.au/,03 6275 7222,Austins.Ferry.Primary@education.tas.gov.au,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:28
4,40221,Bagdad Primary School,Bagdad,7030,TAS,Government,Government,Primary,Co-ed,-42.6249,147.223,Outer Regional,https://bagdadprimary.education.tas.edu.au,03 6268 6127,Bagdad.Primary@decyp.tas.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:33
5,40100,Albuera Street Primary School,Battery Point,7004,TAS,Government,Government,Primary,Co-ed,-42.8912,147.326,Inner Regional,https://albuerastreetprimary.education.tas.edu.au,03 6223 2268,albuera.street.primary@decyp.tas.gov.au,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:35
6,40231,Australian Christian College - Burnie,Somerset,7322,TAS,Independent,Non-Government,Combined,Co-ed,-41.0444,145.81,Outer Regional,https://www.acc.edu.au/burnie/,03 6435 6300,burnie@acc.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:36
7,40269,Australian Christian College - Launceston,Newnham,7248,TAS,Independent,Non-Government,Combined,Co-ed,-41.3861,147.127,Inner Regional,https://www.acc.edu.au/launceston/,03 6327 8000,launceston@acc.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:38
8,40273,Australian Christian College - Hobart,Geilston Bay,7015,TAS,Independent,Non-Government,Combined,Co-ed,-42.8395,147.353,Inner Regional,https://www.acc.edu.au/hobart/,03 6242 6200,hobart@acc.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:39
9,40207,Boat Harbour Primary School,Boat Harbour,7321,TAS,Government,Government,Primary,Co-ed,-40.9456,145.635,Outer Regional,https://boatharbourprimary.education.tas.edu.au/,03 6445 1187,Boat.Harbour.Primary@education.tas.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:30
10,40144,Blackmans Bay Primary School,Blackmans Bay,7052,TAS,Government,Government,Primary,Co-ed,-42.997,147.321,Inner Regional,https://blackmansbayprimary.education.tas.edu.au/,03 6229 6637,Blackmans.Bay.Primary@education.tas.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:32
11,53513,BlendED National,New Town,7008,TAS,Independent,Non-Government,Special,Co-ed,-42.8515864618678,147.307820500463,Inner Regional,https://blendednational.edu.au,,,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:35
12,40128,Bellerive Primary School,Bellerive,7018,TAS,Government,Government,Primary,Co-ed,-42.8723,147.37,Inner Regional,https://belleriveprimary.education.tas.edu.au,03 6244 1200,bellerive.primary@decyp.tas.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:38
13,40060,Bothwell District High School,Bothwell,7030,TAS,Government,Government,Combined,Co-ed,-42.384,147.016,Outer Regional,https://bothwelldistricthigh.education.tas.edu.au,03 6259 5518,Bothwell.District.High@education.tas.gov.au,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:46:39
14,40173,Bracknell Primary School,Bracknell,7302,TAS,Government,Government,Primary,Co-ed,-41.6524,146.934,Outer Regional,https://bracknellprimary.education.tas.edu.au/,03 6397 3288,,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:47:24
15,40167,Bridport Primary School,Bridport,7262,TAS,Government,Government,Primary,Co-ed,-41.0016,147.389,Outer Regional,https://bridportprimary.education.tas.edu.au/,03 6356 1226,,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:47:26
16,40220,Brighton Primary School,Brighton,7030,TAS,Government,Government,Primary,Co-ed,-42.6991,147.258,Inner Regional,https://brightonprimary.education.tas.edu.au,03 6268 8200,brighton.primary@decyp.tas.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:47:26
17,40153,Bicheno Primary School,Bicheno,7215,TAS,Government,Government,Primary,Co-ed,-41.8724,148.306,Remote,https://bichenoprimary.education.tas.edu.au,03 6375 1222,bicheno.primary@education.tas.gov.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:47:27
