row,acara_id,school_name,suburb,postcode,state,sector,school_sector,school_type,gender,lat,lng,geolocation,website_url,school_phone,school_email,scholarship_url,scholarship_confidence,url_status,program_name,program_type,category,sub_type,gender_eligibility,overview,description,eligibility_criteria,year_levels,application_open_date,application_close_date,closing_label,days_left,value_aud,value_num,value_type,number_awarded,test_provider,test_month,application_fee,special_conditions,contact_phone,contact_email,is_active,extraction_confidence_score,last_verified_at
1,48265,Albany Primary School,Albany,6330,WA,Government,Government,Primary,Co-ed,-35.0182,117.891,Outer Regional,https://www.albanyprimary.wa.edu.au/,,,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:42
2,48264,Adam Road Primary School,South Bunbury,6230,WA,Government,Government,Primary,Co-ed,-33.3593,115.634,Inner Regional,https://www.adamroad.wa.edu.au,08 9796 3000,adamroad.ps@education.wa.edu.au,,not_found,not_found,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:44
3,48691,Alinjarra Primary School,Alexander Heights,6064,WA,Government,Government,Primary,Co-ed,-31.8293,115.87,Major Cities,https://alinjarraps.wa.edu.au,(08) 9462 9950,alinjarra.ps@education.wa.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:49
4,52262,Alkimos Beach Primary School,Alkimos,6038,WA,Government,Government,Primary,Co-ed,-31.6237,115.698,Major Cities,http://www.alkimosbeachps.wa.edu.au/,(08) 9561 7200,alkimosbeach.ps@education.wa.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:49
5,48851,Albany Secondary Education Support Centre,Albany,6330,WA,Government,Government,Special,Co-ed,-34.9911,117.863,Outer Regional,https://albanysecondaryesc.wa.edu.au,08 9844 2550,Albany.SESC@education.wa.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:44:50
6,53385,Al-Ameen College - Malaga Campus,Malaga,6090,WA,Independent,Non-Government,Combined,Co-ed,-31.8494017928898,115.882952792391,Major Cities,https://alameencollege.wa.edu.au,08 9458 5206,malaga@alameencollege.wa.edu.au,Not found,low,no_page,Concession Card Fee Discount,financial_assistance,Financial Need,Means-Tested Financial Assistance,Co-ed,"Al-Ameen College Malaga offers a tuition fee discount for families who hold valid health care cards, concession cards, or pensioner cards. This financial assistance program recognises families requiring fee support and is available to all enrolled students.","Al-Ameen College Malaga provides a 10% discount on tuition fees for parents who furnish their health care card, concession card, or pensioner card to the Accounts Office. This is a means-tested financial assistance program designed to support families experiencing financial hardship. The discount applies to tuition fees only and must be claimed by providing valid documentation to the school's Accounts Office. The discount is ongoing for as long as the family maintains eligible status and continues to provide valid documentation annually.","Parents must hold current health care card, concession card, or pensioner card; Documentation must be furnished to the Accounts Office; Applies to all year levels enrolled at Al-Ameen College Malaga",All Years,,,TBA,,10% Fee Reduction,10,Partial,Multiple,Financial Assessment,,,"Valid health care card, concession card, or pensioner card must be provided to the Accounts Office. Discount applies to tuition fees. Families unable to meet fee payment requirements should contact the Accounts Department prior to the due date to discuss payment options.",08 9458 5206,malaga@alameencollege.wa.edu.au,True,85,2026-04-17T01:44:53
7,48116,Albany Senior High School,Albany,6330,WA,Government,Government,Secondary,Co-ed,-35.0198,117.892,Outer Regional,https://www.albanyshs.wa.edu.au/,(08) 6821 1700,albany.shs.enquiries@education.wa.edu.au,https://www.albanyshs.wa.edu.au/page/280/Gifted-and-Talented-Academic-Program,low,active,Gifted and Talented Academic Program,selective,Academic,Gifted and Talented,Co-ed,"Albany Senior High School offers a Gifted and Talented Academic Program for exceptionally able students. The program provides an enriched curriculum designed to meet the needs of gifted and talented students, fostering analytical, critical and creative thinking skills while supporting motivation and communication development.","The Gifted and Talented Academic Program at Albany Senior High School is available to students entering Year 7 and continuing through Years 8, 9, and 10. Students in the program benefit from a well-rounded curriculum designed to nurture analytical, critical and creative thinking skills, foster motivation and encourage communication. They enjoy a culture of teamwork and support as an integral part of the Albany SHS student community and have opportunities to participate in rich and varied extra-curricular activities. In these subjects, teachers offer a specially designed curriculum to meet the needs of the Gifted and Talented cohort. The selection process is based on achieving the required score in the competitive Academic Selective Entrance Test (ASET) administered by the Department of Education. Residential support is available at Albany Residential College for eligible regional students.",Must achieve required score in Academic Selective Entrance Test (ASET) administered by Department of Education; Application process begins in Year 5 with testing in Year 6; Placement starts from Year 7; Students are selected based on demonstrated academic ability and test performance,"Year 7, Year 8, Year 9, Year 10",2025-02-09,,Closed,,,,Non-monetary,Multiple,Department of Education,Year 6,,"Students selected into the program also have the opportunity to apply to live in residence at the Albany Residential College to enable them to access the program. Enrollment requires meeting selective entry criteria. The Gifted and Talented Boarding Away from Home Allowance of up to $1,424 was available to eligible country students in 2025 for boarding support.",(08) 6821 1700,albany.shs.enquiries@education.wa.edu.au,True,75,2026-04-17T01:44:59
8,50319,Alkimos Baptist College,Merriwa,6030,WA,Independent,Non-Government,Combined,Co-ed,-31.6604,115.711,Major Cities,https://alkimosbc.wa.edu.au,08 9406 8189,administration@alkimosbc.wa.edu.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:03
9,49106,Al-Hidayah Islamic School,Bentley,6102,WA,Independent,Non-Government,Primary,Co-ed,-32.0113,115.911,Major Cities,https://www.islamicschool.com.au,08 9351 8593,info@islamicschool.com.au,,not_found,no_page,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-17T01:45:09
10,49138,Al-Ameen College,Langford,6147,WA,Independent,Non-Government,Combined,Co-ed,-32.0442,115.937,Major Cities,https://alameencollege.wa.edu.au,08 9458 5206,admin@alameencollege.wa.edu.au,https://alameencollege.wa.edu.au/high-achievers-awards,low,active,Tuition Fee Discount - Concession Card Holders,financial_assistance,Financial Need,Means-Tested Financial Assistance,Co-ed,"Al-Ameen College offers a 10% discount on tuition fees for families who hold a health care card, concession card, or pensioner card. This financial assistance program helps eligible families reduce their education costs.","Al-Ameen College provides a 10% discount on tuition fees for eligible families. Parents must furnish their health care card, concession card, or pensioner card to the Accounts Office to receive this discount. The discount applies to tuition fees only and is available to families meeting the financial assistance criteria. Additionally, a 5% early payment discount is available if full year fees are paid by 28 February. For the fourth child onward in primary school (Pre-primary to Year 6), families will not be charged tuition fees. This program is designed to support families with demonstrated financial need.","Parent or guardian must hold a current health care card, concession card, or pensioner card; Must provide documentation to the Accounts Office",All Years,,,TBA,,10% Fee Reduction,10,Partial,Multiple,Financial Assessment,,,Discount applies to tuition fees only. Early payment discount of 5% available if full year fees paid by 28 February. Fourth child onward in primary school (Pre-primary to Year 6) receives full tuition fee waiver.,,,True,75,2026-04-17T01:45:10
